Single node output of lshw -short -brief -sanitize for adb-cb1 (single node)

H/W path        Device  Class          Description
==================================================
                        system         Computer
/0                      bus            Motherboard
/0/0                    memory         31GiB System memory
/0/1                    processor      AMD EPYC 7251 8-Core Processor
/0/100                  bridge         Family 17h (Models 00h-0fh) Root Complex
/0/100/0.2              generic        Family 17h (Models 00h-0fh) I/O Memory Management Unit
/0/100/1.1              bridge         Family 17h (Models 00h-0fh) PCIe GPP Bridge
/0/100/1.2              bridge         Family 17h (Models 00h-0fh) PCIe GPP Bridge
/0/100/1.3              bridge         Family 17h (Models 00h-0fh) PCIe GPP Bridge
/0/100/1.4              bridge         Family 17h (Models 00h-0fh) PCIe GPP Bridge
/0/100/7.1              bridge         Family 17h (Models 00h-0fh) Internal PCIe GPP Bridge 0 to Bus B
/0/100/7.1/0            generic        Zeppelin/Raven/Raven2 PCIe Dummy Function
/0/100/7.1/0.2          generic        Family 17h (Models 00h-0fh) Platform Security Processor
/0/100/7.1/0.3          bus            Zeppelin USB 3.0 Host controller
/0/100/8.1              bridge         Family 17h (Models 00h-0fh) Internal PCIe GPP Bridge 0 to Bus B
/0/100/8.1/0            generic        Zeppelin/Renoir PCIe Dummy Function
/0/100/8.1/0.1          generic        Zeppelin Cryptographic Coprocessor NTBCCP
/0/100/14               bus            FCH SMBus Controller
/0/100/14.3             bridge         FCH LPC Bridge
/0/101                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/102                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/103                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/104                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/105                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/106                  bridge         Family 17h (Models 00h-1fh) PCIe Dummy Host Bridge
/0/107                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 0
/0/108                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 1
/0/109                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 2
/0/10a                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 3
/0/10b                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 4
/0/10c                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 5
/0/10d                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 6
/0/10e                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 7
/0/10f                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 0
/0/110                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 1
/0/111                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 2
/0/112                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 3
/0/113                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 4
/0/114                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 5
/0/115                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 6
/0/116                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 7
/0/117                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 0
/0/118                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 1
/0/119                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 2
/0/11a                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 3
/0/11b                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 4
/0/11c                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 5
/0/11d                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 6
/0/11e                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 7
/0/11f                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 0
/0/120                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 1
/0/121                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 2
/0/122                  bridge         Family 17h (Models 00h-0fh) Data Fabric: Device 18h; Function 3
